task_id,title,workstream,phase,month_target,priority,status,owner,dependencies,acceptance,evidence_file,notes
PM-01,"Create master tracking system (`README`, master tasks, ledger, log).",program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-01.md,checklist
PM-02,Create evidence folder and evidence file standards.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-02.md,checklist
PM-03,Lock status and gate vocabulary.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-03.md,checklist
PM-04,Capture benchmark baseline (all dimensions) before Month 1 execution.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-04.md,checklist
PM-05,Publish weekly scorecard cadence and owners.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-05.md,checklist
PM-06,Define release gate authority and escalation tree.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-06.md,checklist
PM-07,Freeze API command naming contract for v2 additions.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-07.md,checklist
PM-08,Freeze event schema compatibility policy.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-08.md,checklist
PM-09,Define benchmark holdout set governance (anti-overfitting policy).,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-09.md,checklist
PM-10,Create launch-readiness reporting dashboard process.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-10.md,checklist
PM-11,Open risk register with owners and mitigation due dates.,program_management,governance,1,P0,done,PM,,See internal-master-tasks.md acceptance criteria,docs/5-5-launch/evidence/PM-11.md,checklist
